Ano;Localidade;Count;Média;Max;Min;Std;
2015;RJ;35267;46.137250120508746;93.4;0.0;14.33249487367951;
2010;SP;73592.000000;38.924071;89.100000;0.000000;14.459981;
2011;SP;73806.000000;42.384817;93.200000;0.000000;16.120518;
2012;SP;129457.000000;37.747291;89.600000;0.00000;13.743066;
2013;SP;33215;45.1428992924887;87.3;0.0;15.61563499591316;
2014;SP;100730;44.422609947384395;95.3;0.0;14.624860418661346;
2015;SP;114904;44.3810067534633;92.9;0.0;13.721759044371307;
2010;PR;34950.000000;37.549903;86.200000;0.000000;14.122152;
2011;PR;29860.000000;44.632257;90.000000;0.000000;14.650709;
2012;PR;52314.000000;38.266389;87.400000;0.000000;13.616201;
2013;PR;18876;42.344696969697125;89.6;0.0;14.752509772632347;
2014;PR;40733;44.91021284953212;89.7;0.0;14.452139425518775;
2015;PR;56099;43.38758444892072;92.9;0.0;13.839222433106952;
2010;SC;12705.000000;38.462322;82.700000;0.000000;14.725592;
2011;SC;12081.000000;42.362727;87.800000;0.000000;15.322527;
2012;SC;25100.000000;39.230813;85.300000;0.000000;13.606051;
2013;SC;6303;45.39497064889734;85.1;0.0;14.339993578499783;
2014;SC;19235;44.43339225370449;91.5;0.0;14.659198035412556;
2015;SC;24113;44.84112719280053;92.9;0.0;13.618228494165333;
2010;RS;19434.000000;41.846769;89.200000;0.000000;14.777246;
2011;RS;25064.000000;43.768369;90.000000;0.000000;15.082242;
2012;RS;31347.000000;39.074862;88.000000;0.000000;14.133058;
2013;RS;10938;46.722892667763844;89.8;0.0;15.263344677521061;
2014;RS;19645;47.710608297276885;96.1;0.0;14.386402862278032;
2015;RS;29459;46.06363420346959;92.8;0.0;13.816184151501009;
2010;MS;10068.000000;35.751440;87.500000;0.000000;12.964827;
2011;MS;5440.000000;43.157224;85.700000;0.000000;13.731799;
2012;MS;16412.000000;34.603168;85.600000;0.000000;13.491000;
2013;MS;6927;35.83236610365246;87.8;0.0;13.247123288258395;
2014;MS;11211;43.205904914815726;91.9;0.0;14.195852911451066;
2015;MS;15489;38.78954096455572;85.5;0.0;12.953105197141255;
2010;MT;6496.00000;39.43924;83.70000;0.00000;14.05640;
2011;MT;4146.000000;41.158562;82.700000;0.00000;14.575456;
2012;MT;7083.000000;37.059664;80.700000;0.00000;12.697928;
2013;MT;3130;47.73996805111823;87.4;0.0;12.948224081710377;
2014;MT;4770;43.45622641509436;86.3;0.0;13.135987937304384;
2015;MT;6712;41.583075089392096;89.6;0.0;12.765027854426993;
2010;GO;11451.000000;38.795048;87.500000;0.000000;13.810703;
2011;GO;8960.000000;41.380792;90.100000;0.000000;14.354152;
2012;GO;13704.000000;36.718257;88.200000;0.00000;13.252644;
2013;GO;5825;44.43819742489279;88.2;0.0;14.087514754427382;
2014;GO;10469;42.353395739803275;88.6;0.0;14.08012265608673;
2015;GO;12843;42.339461185081376;87.9;0.0;13.92357765529011;
2010;DF;6074.000000;38.885743;87.300000;0.000000;15.241378;
2011;DF;5418.000000;41.976818;87.700000;0.000000;16.708807;
2012;DF;14781.000000;37.320087;94.00000;0.000000;14.468196;
2013;DF;3159;46.3136119025009;92.1;0.0;14.573394589351253;
2014;DF;7334;44.28901008999164;92.2;0.0;15.074231949541378;
2015;DF;10556;45.74384236453206;91.5;0.0;15.608321305014153;
